Strike Dip Rake Strike Dip Rake
  44.2   76.3   38.5  303.5   52.8  162.7
  35.5   52.5   21.6  111.9   73.0  140.5
  42.9   81.9   -9.6  314.3   80.5 -171.8
  49.8   78.3   -4.4  320.7   85.7 -168.3
  38.7   69.9   14.5  303.6   76.4  159.3
  36.8   85.1   16.9  305.3   73.2  174.9
  41.4   67.4   46.3  109.5   48.1  148.9
  42.3   58.3  -51.3  345.6   48.4 -135.3
  29.0   68.1  -51.8  324.3   43.2 -147.0
  31.5   83.6  -26.4  304.6   63.8 -172.9
  31.0   36.1  -16.9  314.8   80.1 -124.9
  23.8   54.0  -16.4  303.6   76.8 -142.9
  41.8   35.4   16.1  298.6   80.8  124.3
 323.9   53.3  -64.8  105.7   43.5 -119.7
  36.9   63.0  -64.4  350.4   36.5 -130.3
  13.4   33.2  -98.1   23.1   57.2  -84.7
  30.4   69.6 -120.4   89.7   36.1  -36.3
  30.5   34.8  -97.5   39.6   55.5  -84.8
  15.1   53.7 -143.1   81.1   61.1  -42.6
  28.4   77.5  159.8  303.0   70.3   13.3
  16.6   89.2  159.8  106.9   69.8    0.9
  23.1   75.7 -167.6  110.0   78.0  -14.6
  21.4   70.0  159.0  298.9   70.3   21.3
 351.6   66.4 -169.9   77.5   80.8  -23.9
  33.3   73.9 -122.3   99.6   35.7  -28.4
  16.6   85.6  161.0  108.1   71.1    4.7
   6.0   74.8 -120.8   72.3   34.0  -27.9
  28.4   77.5  159.8  303.0   70.3   13.3
 359.5   48.5 -159.5   75.6   74.8  -43.4
   7.6   63.6 -177.5   96.5   87.8  -26.4
